opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,regional_office (from sales_agent),manager (from sales_agent),sales_agent (from sales_agent),sales_price (from product),series (from product),product (from product),office_location (from account),employees (from account),revenue (from account),year_established (from account),sector (from account),account (from account),subsidiary_of (from account)
V6HB68BL,['recJwDaQF7wfQA7XK'],['recFrALUjvF2CFXxh'],['rec5CAksYUA1CzllF'],Won,2017-03-03,2017-05-30,567.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[550],['GTX'],['GTX Basic'],['United States'],[3583],[1388.67],[1989],['retail'],['J-Texon'],
04SQ7RNY,['recwFlfWSUEPKTffy'],['rec3uGAoAGOaHcdc0'],['recW64ZxOCFnQUVdj'],Won,2017-08-29,2017-12-19,4577.0,['West'],['Celia Rouche'],['Vicki Laflamme'],[4821],['GTX'],['GTX Pro'],['United States'],[7523],[4968.91],[1990],['retail'],['Fasehatice'],
PAUXUGK3,['recJwDaQF7wfQA7XK'],['recWhmpXE1wpTmDRF'],['recqKo1gCcOWUowwp'],Won,2017-07-21,2017-07-30,997.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[5108],[1699.85],[1999],['telecommunications'],['Sonron'],
E2KGQVEO,['recXE91aJ3SHYZUZS'],['recVPUKUds9mycWKY'],,Engaging,2017-07-06,,,['East'],['Rocco Neubert'],['Daniell Hammack'],[3393],['MG'],['MG Advanced'],,,,,,,
GIZAD3ZN,['recSKFzWD2r24VRY0'],['rec3uGAoAGOaHcdc0'],['recPmLRkW7SkQq3Yt'],Won,2017-09-14,2017-12-07,5230.0,['West'],['Summer Sewald'],['James Ascencio'],[4821],['GTX'],['GTX Pro'],['United States'],[3889],[1618.89],[2004],['medical'],['Lexiqvolax'],
7S6SHJJG,['rec8gOFgVBOiAwSTA'],['recWhmpXE1wpTmDRF'],['recW64ZxOCFnQUVdj'],Won,2017-01-09,2017-03-14,1117.0,['West'],['Summer Sewald'],['Zane Levy'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[7523],[4968.91],[1990],['retail'],['Fasehatice'],
99L2TNR5,['recwrSklkMDwB8VNY'],['recVPUKUds9mycWKY'],['recREerSH52ngG8BJ'],Won,2017-05-23,2017-08-24,3339.0,['Central'],['Melvin Marxen'],['Gladys Colclough'],[3393],['MG'],['MG Advanced'],['Korea'],[16499],[8170.38],[1997],['technolgy'],['Hottechi'],
FCNYDFK3,['recXE91aJ3SHYZUZS'],['recWhmpXE1wpTmDRF'],['recrgp5uxIJv6jptM'],Won,2017-04-16,2017-06-06,1192.0,['East'],['Rocco Neubert'],['Daniell Hammack'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[2253],[987.39],[2002],['software'],['Bubba Gump'],
2K7R3QHZ,['recJwDaQF7wfQA7XK'],['recFrALUjvF2CFXxh'],['rec3SO5phE1UzBvVR'],Won,2017-04-24,2017-09-03,616.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[550],['GTX'],['GTX Basic'],['Brazil'],[1179],[405.59],[1987],['services'],['Nam-zim'],['Warephase']
D4SJ5G2G,['rec2AduQqyM1BRhvl'],['recnXVPEmO1PaodiB'],['rec55P18sZC13wk4D'],Lost,2017-10-03,2017-12-23,0.0,['East'],['Cara Losch'],['Violet Mclelland'],[55],['MG'],['MG Special'],['United States'],[8274],[3838.39],[1989],['entertainment'],['Xx-zobam'],
H2HNTSIP,['recfx0ejuz683bEiW'],['recVPUKUds9mycWKY'],['recREerSH52ngG8BJ'],Won,2017-07-03,2017-07-05,3101.0,['Central'],['Melvin Marxen'],['Jonathan Berthelot'],[3393],['MG'],['MG Advanced'],['Korea'],[16499],[8170.38],[1997],['technolgy'],['Hottechi'],
BEKQZ411,['recuAACvREIzE2N3a'],['recnXVPEmO1PaodiB'],['rec0O8x7iaEWWLKRO'],Won,2017-05-19,2017-08-31,58.0,['Central'],['Dustin Brinkmann'],['Moses Frase'],[55],['MG'],['MG Special'],['United States'],[8801],[2403.58],[1986],['marketing'],['Inity'],
SEF4LOIS,['recshknWSYf3K53iZ'],['recWhmpXE1wpTmDRF'],['recIVB15xK8fwLR3h'],Lost,2017-07-23,2017-07-25,0.0,['Central'],['Melvin Marxen'],['Marty Freudenburg'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[10083],[4618],[1982],['software'],['Dontechi'],
298J5EM0,['recwFlfWSUEPKTffy'],['recFrALUjvF2CFXxh'],,Engaging,2017-08-09,,,['West'],['Celia Rouche'],['Vicki Laflamme'],[550],['GTX'],['GTX Basic'],,,,,,,
HXRF96S3,['recwFlfWSUEPKTffy'],['recnXVPEmO1PaodiB'],['recPQ82PPFFJCf1MK'],Won,2017-09-20,2017-12-15,54.0,['West'],['Celia Rouche'],['Vicki Laflamme'],[55],['MG'],['MG Special'],['United States'],[9226],[2741.37],[1985],['medical'],['Labdrill'],
QFLFLCD0,['recshknWSYf3K53iZ'],['rec3uGAoAGOaHcdc0'],['rec0XYl5V1UMTM9pj'],Lost,2017-10-14,2017-10-18,0.0,['Central'],['Melvin Marxen'],['Marty Freudenburg'],[4821],['GTX'],['GTX Pro'],['Belgium'],[1165],[1376.8],[1988],['retail'],['Streethex'],
30OFYJUN,['recDTnBU8fckOMNZg'],['recFrALUjvF2CFXxh'],['recIVB15xK8fwLR3h'],Lost,2017-07-25,2017-07-31,0.0,['Central'],['Dustin Brinkmann'],['Lajuana Vencill'],[550],['GTX'],['GTX Basic'],['United States'],[10083],[4618],[1982],['software'],['Dontechi'],
IN9S33CD,['rec8bDaspyAZAPJyy'],['recJRsAin61VylEfz'],['recN5IHgnQdL3b6wp'],Engaging,2017-03-17,,,['West'],['Celia Rouche'],['Rosalina Dieter'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[1759],[1102.43],[2006],['finance'],['Finhigh'],
2TI0MAKP,['recTIZcUJncqqMoJG'],['recFrALUjvF2CFXxh'],['recPmLRkW7SkQq3Yt'],Prospecting,,,,['Central'],['Dustin Brinkmann'],['Versie Hillebrand'],[550],['GTX'],['GTX Basic'],['United States'],[3889],[1618.89],[2004],['medical'],['Lexiqvolax'],
1WVEAE8N,['recfx0ejuz683bEiW'],['recWhmpXE1wpTmDRF'],['recKk9uvEhxINhjpp'],Lost,2017-12-03,2017-12-20,0.0,['Central'],['Melvin Marxen'],['Jonathan Berthelot'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[2641],[2714.9],[1998],['software'],['Codehow'],['Acme Corporation']
J5IF7CT6,['recwrSklkMDwB8VNY'],['recVPUKUds9mycWKY'],,Prospecting,,,,['Central'],['Melvin Marxen'],['Gladys Colclough'],[3393],['MG'],['MG Advanced'],,,,,,,
TM70L0W8,['rec8gOFgVBOiAwSTA'],['rec3uGAoAGOaHcdc0'],,Engaging,2017-08-22,,,['West'],['Summer Sewald'],['Zane Levy'],[4821],['GTX'],['GTX Pro'],,,,,,,
CTZ5I5R5,['rec0c8JQLggtca7ZE'],['recJRsAin61VylEfz'],['recS8oDCYeeO3QjX9'],Won,2017-10-02,2017-12-05,5469.0,['East'],['Rocco Neubert'],['Cassey Cress'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[1016],[326.82],[1991],['medical'],['Bioplex'],
RK5Y67V6,['recXshYIp1Ey0qEft'],['recnXVPEmO1PaodiB'],['recOVhc92xCNl4v4h'],Won,2017-03-01,2017-03-08,60.0,['Central'],['Melvin Marxen'],['Darcel Schlecht'],[55],['MG'],['MG Special'],['United States'],[3798],[1698.2],[1987],['finance'],['Stanredtax'],
LDAXEBR0,['recfx0ejuz683bEiW'],['recFrALUjvF2CFXxh'],['rec6KmtuaBZAFIvSH'],Won,2017-06-03,2017-06-22,639.0,['Central'],['Melvin Marxen'],['Jonathan Berthelot'],[550],['GTX'],['GTX Basic'],['United States'],[8595],[5266.09],[1988],['telecommunications'],['Treequote'],['Sonron']
7VGJ2B7O,['rec2AduQqyM1BRhvl'],['recnXVPEmO1PaodiB'],,Engaging,2017-03-17,,,['East'],['Cara Losch'],['Violet Mclelland'],[55],['MG'],['MG Special'],,,,,,,
UWI771ZX,['recXshYIp1Ey0qEft'],['recWhmpXE1wpTmDRF'],,Engaging,2017-07-29,,,['Central'],['Melvin Marxen'],['Darcel Schlecht'],[1096],['GTX'],['GTX Plus Basic'],,,,,,,
V8HMIE7M,['recTIZcUJncqqMoJG'],['recnXVPEmO1PaodiB'],['rec4aFtyEogeHo6qm'],Lost,2017-04-07,2017-05-30,0.0,['Central'],['Dustin Brinkmann'],['Versie Hillebrand'],[55],['MG'],['MG Special'],['United States'],[1190],[375.43],[1985],['marketing'],['Konmatfix'],
46UITTY6,['recJwDaQF7wfQA7XK'],['recFrALUjvF2CFXxh'],['recQtvIyTPRl4WqEI'],Won,2017-08-27,2017-11-04,545.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[550],['GTX'],['GTX Basic'],['United States'],[5374],[2214.94],[1996],['retail'],['Singletechno'],
8P3O8A9H,['recwFlfWSUEPKTffy'],['recnXVPEmO1PaodiB'],,Engaging,2017-08-21,,,['West'],['Celia Rouche'],['Vicki Laflamme'],[55],['MG'],['MG Special'],,,,,,,
TTVQT1YD,['recpog0L4wRoCIsGj'],['recVPUKUds9mycWKY'],['recRNd3OHtxas9OhU'],Lost,2017-06-16,2017-08-31,0.0,['East'],['Rocco Neubert'],['Donn Cantrell'],[3393],['MG'],['MG Advanced'],['United States'],[495],[251.41],[1999],['medical'],['Betasoloin'],
88KUDE6J,['recpog0L4wRoCIsGj'],['recJRsAin61VylEfz'],['rechy1cXzTxP9H4eI'],Won,2017-02-04,2017-05-30,5366.0,['East'],['Rocco Neubert'],['Donn Cantrell'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[2822],[1100.04],[1996],['technolgy'],['Acme Corporation'],
MON3JWUF,['recwFlfWSUEPKTffy'],['recFrALUjvF2CFXxh'],['recybBZnSFjgh7NNR'],Won,2017-07-06,2017-07-13,583.0,['West'],['Celia Rouche'],['Vicki Laflamme'],[550],['GTX'],['GTX Basic'],['United States'],[5595],[1825.82],[1995],['telecommunications'],['Faxquote'],['Sonron']
XHHJ48MJ,['recUQ3Z5OesYpn4Zd'],['recFrALUjvF2CFXxh'],['rec3810p7LgytqHx9'],Won,2017-01-17,2017-03-14,607.0,['West'],['Summer Sewald'],['Kami Bicknell'],[550],['GTX'],['GTX Basic'],['United States'],[9561],[2871.35],[1983],['employment'],['Y-corporation'],
ZO4FDMPS,['recshknWSYf3K53iZ'],['rec3uGAoAGOaHcdc0'],['recnylmt5ypIFXMmH'],Lost,2017-11-04,2017-11-05,0.0,['Central'],['Melvin Marxen'],['Marty Freudenburg'],[4821],['GTX'],['GTX Pro'],['Panama'],[8775],[2938.67],[1987],['technolgy'],['Rangreen'],
PJ00PLEU,['recshknWSYf3K53iZ'],['recJRsAin61VylEfz'],['recKk9uvEhxINhjpp'],Lost,2017-05-08,2017-05-20,0.0,['Central'],['Melvin Marxen'],['Marty Freudenburg'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[2641],[2714.9],[1998],['software'],['Codehow'],['Acme Corporation']
1UFFP5T3,['recDTnBU8fckOMNZg'],['recVPUKUds9mycWKY'],['recOL9gXg8OOUB7S3'],Lost,2017-07-19,2017-08-02,0.0,['Central'],['Dustin Brinkmann'],['Lajuana Vencill'],[3393],['MG'],['MG Advanced'],['United States'],[2448],[718.62],[2001],['retail'],['Cancity'],
LUP7FYS5,['reclmeJXibSD5Wgxj'],['recJRsAin61VylEfz'],['rec55P18sZC13wk4D'],Lost,2017-06-20,2017-07-02,0.0,['East'],['Rocco Neubert'],['Boris Faz'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[8274],[3838.39],[1989],['entertainment'],['Xx-zobam'],
NSI9TMQ1,['recrMYgokkQjmtGeE'],['rec3uGAoAGOaHcdc0'],['recJjRRAbHoYmrOb9'],Lost,2017-03-27,2017-05-31,0.0,['East'],['Cara Losch'],['Garret Kinder'],[4821],['GTX'],['GTX Pro'],['China'],[142],[40.79],[2011],['technolgy'],['Zencorporation'],
ITDTMROU,['rec0c8JQLggtca7ZE'],['recVPUKUds9mycWKY'],['rec55P18sZC13wk4D'],Won,2017-09-10,2017-12-05,3371.0,['East'],['Rocco Neubert'],['Cassey Cress'],[3393],['MG'],['MG Advanced'],['United States'],[8274],[3838.39],[1989],['entertainment'],['Xx-zobam'],
5Z8S8UHK,['rec0c8JQLggtca7ZE'],['recFrALUjvF2CFXxh'],,Engaging,2017-03-06,,,['East'],['Rocco Neubert'],['Cassey Cress'],[550],['GTX'],['GTX Basic'],,,,,,,
ZDRRL61D,['rec45QPwgIOrhcBrW'],['recWhmpXE1wpTmDRF'],['recOL9gXg8OOUB7S3'],Lost,2017-07-23,2017-07-25,0.0,['Central'],['Melvin Marxen'],['Niesha Huffines'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[2448],[718.62],[2001],['retail'],['Cancity'],
E5CD0W5M,['rec0c8JQLggtca7ZE'],['recFrALUjvF2CFXxh'],['recnFALYfCXINOLkT'],Lost,2017-06-28,2017-07-01,0.0,['East'],['Rocco Neubert'],['Cassey Cress'],[550],['GTX'],['GTX Basic'],['United States'],[34288],[11698.03],[1982],['software'],['Kan-code'],
MMWD47ZY,['recwrSklkMDwB8VNY'],['recWhmpXE1wpTmDRF'],['rec4aFtyEogeHo6qm'],Lost,2017-06-28,2017-08-29,0.0,['Central'],['Melvin Marxen'],['Gladys Colclough'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[1190],[375.43],[1985],['marketing'],['Konmatfix'],
G4MKT3AE,['recuV4SiS1HMmasIq'],['recnXVPEmO1PaodiB'],['recbN7P9CLkudqQ0R'],Lost,2017-02-14,2017-05-07,0.0,['East'],['Cara Losch'],['Rosie Papadopoulos'],[55],['MG'],['MG Special'],['United States'],[792],[439.21],[1996],['medical'],['The New York Inquirer'],
OTLQMB5X,['rec8bDaspyAZAPJyy'],['recFrALUjvF2CFXxh'],,Engaging,2017-04-30,,,['West'],['Celia Rouche'],['Rosalina Dieter'],[550],['GTX'],['GTX Basic'],,,,,,,
FZWU2I30,['rec8gOFgVBOiAwSTA'],['recJRsAin61VylEfz'],['recbN7P9CLkudqQ0R'],Engaging,2017-12-10,,,['West'],['Summer Sewald'],['Zane Levy'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[792],[439.21],[1996],['medical'],['The New York Inquirer'],
GJ4L5HHN,['recfJiHzihquHi9GY'],['recWhmpXE1wpTmDRF'],['recoYLGhY3uRCLJHH'],Won,2016-12-09,2017-03-14,1034.0,['East'],['Cara Losch'],['Corliss Cosme'],[1096],['GTX'],['GTX Plus Basic'],['Jordan'],[9516],[3027.46],[1984],['marketing'],['Mathtouch'],
RNCYPVJO,['recwrSklkMDwB8VNY'],['recVPUKUds9mycWKY'],['recOVhc92xCNl4v4h'],Won,2017-07-21,2017-07-31,2970.0,['Central'],['Melvin Marxen'],['Gladys Colclough'],[3393],['MG'],['MG Advanced'],['United States'],[3798],[1698.2],[1987],['finance'],['Stanredtax'],
R8CMI00I,['recrMYgokkQjmtGeE'],['recFrALUjvF2CFXxh'],['recnFALYfCXINOLkT'],Won,2017-05-22,2017-06-06,555.0,['East'],['Cara Losch'],['Garret Kinder'],[550],['GTX'],['GTX Basic'],['United States'],[34288],[11698.03],[1982],['software'],['Kan-code'],
4LXUITP3,['recJwDaQF7wfQA7XK'],['recFrALUjvF2CFXxh'],,Engaging,2017-06-04,,,['West'],['Summer Sewald'],['Kary Hendrixson'],[550],['GTX'],['GTX Basic'],,,,,,,
R2V49PU5,['recUQ3Z5OesYpn4Zd'],['recWhmpXE1wpTmDRF'],,Engaging,2017-08-21,,,['West'],['Summer Sewald'],['Kami Bicknell'],[1096],['GTX'],['GTX Plus Basic'],,,,,,,
3BFBN8JW,['recTIZcUJncqqMoJG'],['recVPUKUds9mycWKY'],['reczKDEJv3HjrRumc'],Lost,2017-04-11,2017-04-18,0.0,['Central'],['Dustin Brinkmann'],['Versie Hillebrand'],[3393],['MG'],['MG Advanced'],['United States'],[7227],[2819.5],[1991],['finance'],['Funholding'],['Golddex']
RMFG5C6C,['recXshYIp1Ey0qEft'],['rec3uGAoAGOaHcdc0'],['recH9VNf3iGJTK084'],Won,2017-10-01,2017-10-09,4594.0,['Central'],['Melvin Marxen'],['Darcel Schlecht'],[4821],['GTX'],['GTX Pro'],['Norway'],[2497],[1223.72],[2000],['technolgy'],['Globex Corporation'],
AKMV6WN5,['rec2NqrWcWLqZHTbt'],['recZMtYVFwayOGUg3'],,Engaging,2017-04-06,,,['West'],['Celia Rouche'],['Elease Gluck'],[26768],['GTK'],['GTK 500'],,,,,,,
FH3UXT3T,['recXshYIp1Ey0qEft'],['rec3uGAoAGOaHcdc0'],,Engaging,2017-08-08,,,['Central'],['Melvin Marxen'],['Darcel Schlecht'],[4821],['GTX'],['GTX Pro'],,,,,,,
M8WP93D4,['reczLs4GtgOJGT6h8'],['recFrALUjvF2CFXxh'],['recIIbKPF4I2d2qJI'],Lost,2017-04-09,2017-04-18,0.0,['Central'],['Dustin Brinkmann'],['Cecily Lampkin'],[550],['GTX'],['GTX Basic'],['United States'],[4540],[3178.24],[2002],['medical'],['Isdom'],
5IOG6X00,['recpog0L4wRoCIsGj'],['recJRsAin61VylEfz'],['rechLxaoZCEWYRz47'],Won,2017-07-17,2017-09-08,6205.0,['East'],['Rocco Neubert'],['Donn Cantrell'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[3502],[2520.83],[1990],['retail'],['Gekko & Co'],
DASMR0EK,['receLEVrq7iN29V0p'],['recJRsAin61VylEfz'],['recTp1SQeJJ46t8aM'],Won,2016-12-08,2017-03-10,5410.0,['West'],['Celia Rouche'],['Markita Hansen'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[978],[324.19],[1992],['entertainment'],['Zoomit'],
Q54L8P6I,['rec8gOFgVBOiAwSTA'],['recFrALUjvF2CFXxh'],['rechbEuNfmAqYPi2K'],Lost,2017-05-08,2017-05-15,0.0,['West'],['Summer Sewald'],['Zane Levy'],[550],['GTX'],['GTX Basic'],['United States'],[16780],[6354.87],[1996],['software'],['Scotfind'],['Bubba Gump']
5WJZMULK,['recki4hHyhuIcLw0L'],['recWhmpXE1wpTmDRF'],['receLxXPu5uamHIh9'],Won,2016-11-28,2017-03-19,979.0,['West'],['Summer Sewald'],['Maureen Marcano'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[1299],[792.46],[1982],['services'],['Hatfan'],
59FN87JP,['reclmeJXibSD5Wgxj'],['recJRsAin61VylEfz'],['recoYLGhY3uRCLJHH'],Lost,2017-05-02,2017-05-21,0.0,['East'],['Rocco Neubert'],['Boris Faz'],[5482],['GTX'],['GTX Plus Pro'],['Jordan'],[9516],[3027.46],[1984],['marketing'],['Mathtouch'],
2T3QDLXY,['recpog0L4wRoCIsGj'],['rec3uGAoAGOaHcdc0'],['rec21CQwNNfgLDyk1'],Won,2017-07-24,2017-07-26,4490.0,['East'],['Rocco Neubert'],['Donn Cantrell'],[4821],['GTX'],['GTX Pro'],['United States'],[20275],[6395.05],[1994],['telecommunications'],['Initech'],
3GOXMQPF,['recJwDaQF7wfQA7XK'],['recWhmpXE1wpTmDRF'],['reckfNoXMhv6bp84W'],Won,2017-05-29,2017-08-17,1002.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[165],[52.5],[2008],['finance'],['Golddex'],
KHG4UMKP,['recSKFzWD2r24VRY0'],['recnXVPEmO1PaodiB'],['recLj6suGtbs7YLF4'],Won,2017-09-20,2017-11-24,58.0,['West'],['Summer Sewald'],['James Ascencio'],[55],['MG'],['MG Special'],['United States'],[1588],[497.11],[2009],['retail'],['Blackzim'],
NKO2JRRS,['recuV4SiS1HMmasIq'],['recJRsAin61VylEfz'],['recpLDlGXoPpFoJxO'],Won,2017-03-30,2017-04-08,6155.0,['East'],['Cara Losch'],['Rosie Papadopoulos'],[5482],['GTX'],['GTX Plus Pro'],['United States'],[5113],[2022.14],[1998],['finance'],['Umbrella Corporation'],
Y69M70YC,['recwrSklkMDwB8VNY'],['rec3uGAoAGOaHcdc0'],['recMe01bCK0jZoeZt'],Lost,2017-08-15,2017-11-01,0.0,['Central'],['Melvin Marxen'],['Gladys Colclough'],[4821],['GTX'],['GTX Pro'],['United States'],[2928],[2173.98],[1995],['marketing'],['dambase'],['Inity']
K83L4L0I,['recuV4SiS1HMmasIq'],['recVPUKUds9mycWKY'],['recoYLGhY3uRCLJHH'],Won,2017-05-29,2017-06-17,2918.0,['East'],['Cara Losch'],['Rosie Papadopoulos'],[3393],['MG'],['MG Advanced'],['Jordan'],[9516],[3027.46],[1984],['marketing'],['Mathtouch'],
EOB01PRO,['recTIZcUJncqqMoJG'],['recnXVPEmO1PaodiB'],['recH9VNf3iGJTK084'],Won,2017-02-27,2017-05-14,47.0,['Central'],['Dustin Brinkmann'],['Versie Hillebrand'],[55],['MG'],['MG Special'],['Norway'],[2497],[1223.72],[2000],['technolgy'],['Globex Corporation'],
DW5BQ220,['recc1VaOot1jxactL'],['recnXVPEmO1PaodiB'],['recTp1SQeJJ46t8aM'],Prospecting,,,,['Central'],['Dustin Brinkmann'],['Anna Snelling'],[55],['MG'],['MG Special'],['United States'],[978],[324.19],[1992],['entertainment'],['Zoomit'],
BLLYPR3S,['recfJiHzihquHi9GY'],['recVPUKUds9mycWKY'],['rec5Avq7SJJwbhY1S'],Lost,2017-05-12,2017-08-24,0.0,['East'],['Cara Losch'],['Corliss Cosme'],[3393],['MG'],['MG Advanced'],['Romania'],[493],[167.89],[2000],['retail'],['Sumace'],
0S4K915N,['recJwDaQF7wfQA7XK'],['recFrALUjvF2CFXxh'],['recxGgLkZm0DxyRch'],Lost,2017-03-29,2017-05-20,0.0,['West'],['Summer Sewald'],['Kary Hendrixson'],[550],['GTX'],['GTX Basic'],['United States'],[13756],[7708.38],[1980],['technolgy'],['Konex'],
KIHC1QJQ,['recUQ3Z5OesYpn4Zd'],['recFrALUjvF2CFXxh'],['recuLdgbYeFnj5465'],Won,2017-02-17,2017-05-09,540.0,['West'],['Summer Sewald'],['Kami Bicknell'],[550],['GTX'],['GTX Basic'],['United States'],[4874],[2437.85],[2001],['retail'],['Plexzap'],
6CKB8I8U,['recfx0ejuz683bEiW'],['recWhmpXE1wpTmDRF'],['recREerSH52ngG8BJ'],Lost,2017-03-04,2017-05-13,0.0,['Central'],['Melvin Marxen'],['Jonathan Berthelot'],[1096],['GTX'],['GTX Plus Basic'],['Korea'],[16499],[8170.38],[1997],['technolgy'],['Hottechi'],
4U9D1IZ5,['rec8gOFgVBOiAwSTA'],['recFrALUjvF2CFXxh'],,Engaging,2017-03-22,,,['West'],['Summer Sewald'],['Zane Levy'],[550],['GTX'],['GTX Basic'],,,,,,,
0C34Z5UZ,['recwrSklkMDwB8VNY'],['rec3uGAoAGOaHcdc0'],,Prospecting,,,,['Central'],['Melvin Marxen'],['Gladys Colclough'],[4821],['GTX'],['GTX Pro'],,,,,,,
IZJR1WDM,['rec8gOFgVBOiAwSTA'],['recnXVPEmO1PaodiB'],['recuLdgbYeFnj5465'],Won,2017-07-04,2017-09-21,52.0,['West'],['Summer Sewald'],['Zane Levy'],[55],['MG'],['MG Special'],['United States'],[4874],[2437.85],[2001],['retail'],['Plexzap'],
8XE8GGIW,['recXshYIp1Ey0qEft'],['rec3uGAoAGOaHcdc0'],['recsMRzms9EnGk44P'],Prospecting,,,,['Central'],['Melvin Marxen'],['Darcel Schlecht'],[4821],['GTX'],['GTX Pro'],['United States'],[3194],[1712.68],[1992],['technolgy'],['Donquadtech'],['Acme Corporation']
MGHWZSN2,['reclmeJXibSD5Wgxj'],['recVPUKUds9mycWKY'],['recbN7P9CLkudqQ0R'],Lost,2017-10-01,2017-10-06,0.0,['East'],['Rocco Neubert'],['Boris Faz'],[3393],['MG'],['MG Advanced'],['United States'],[792],[439.21],[1996],['medical'],['The New York Inquirer'],
GLG1IOHT,['rec8bDaspyAZAPJyy'],['recnXVPEmO1PaodiB'],['rec5CAksYUA1CzllF'],Won,2017-10-01,2017-10-08,51.0,['West'],['Celia Rouche'],['Rosalina Dieter'],[55],['MG'],['MG Special'],['United States'],[3583],[1388.67],[1989],['retail'],['J-Texon'],
